model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,0.9082352941176471
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,2,0.9211764705882353
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,3,0.9247058823529412
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,4,0.9270588235294117
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,0.9294117647058824
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,0.9552941176470588
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,2,0.9623529411764705
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,3,0.9670588235294117
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,4,0.9717647058823529
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,0.9764705882352941
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,0.8376470588235294
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,2,0.8505882352941176
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,3,0.8541176470588234
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,4,0.8564705882352941
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,0.8588235294117647
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,0.5411764705882353
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,2,0.5458823529411765
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,3,0.548235294117647
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,4,0.5505882352941176
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,0.5529411764705883
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,0.5764705882352941
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,2,0.5811764705882353
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,3,0.5835294117647059
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,4,0.5858823529411764
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,0.5882352941176471
deepseek-ai/DeepSeek-V3,pass_compile,1,0.9411764705882353
deepseek-ai/DeepSeek-V3,pass_compile,2,0.96
deepseek-ai/DeepSeek-V3,pass_compile,3,0.9670588235294117
deepseek-ai/DeepSeek-V3,pass_compile,4,0.9717647058823529
deepseek-ai/DeepSeek-V3,pass_compile,5,0.9764705882352941
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,2,1.0
deepseek-ai/DeepSeek-V3,pass_parse,3,1.0
deepseek-ai/DeepSeek-V3,pass_parse,4,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,0.9317647058823529
deepseek-ai/DeepSeek-V3,pass_synth,2,0.9611764705882353
deepseek-ai/DeepSeek-V3,pass_synth,3,0.9705882352941176
deepseek-ai/DeepSeek-V3,pass_synth,4,0.9741176470588235
deepseek-ai/DeepSeek-V3,pass_synth,5,0.9764705882352941
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,1,0.6258823529411766
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,2,0.6423529411764706
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,3,0.6494117647058824
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,4,0.6541176470588236
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,5,0.6588235294117647
deepseek-ai/DeepSeek-V3,pass_tb,1,0.6329411764705882
deepseek-ai/DeepSeek-V3,pass_tb,2,0.6435294117647059
deepseek-ai/DeepSeek-V3,pass_tb,3,0.6494117647058824
deepseek-ai/DeepSeek-V3,pass_tb,4,0.6541176470588236
deepseek-ai/DeepSeek-V3,pass_tb,5,0.6588235294117647
meta-llama/Llama-3-70b-chat-hf,pass_compile,1,0.8494117647058824
meta-llama/Llama-3-70b-chat-hf,pass_compile,2,0.8623529411764705
meta-llama/Llama-3-70b-chat-hf,pass_compile,3,0.8658823529411764
meta-llama/Llama-3-70b-chat-hf,pass_compile,4,0.868235294117647
meta-llama/Llama-3-70b-chat-hf,pass_compile,5,0.8705882352941177
meta-llama/Llama-3-70b-chat-hf,pass_parse,1,0.9858823529411764
meta-llama/Llama-3-70b-chat-hf,pass_parse,2,0.9929411764705883
meta-llama/Llama-3-70b-chat-hf,pass_parse,3,0.9952941176470588
meta-llama/Llama-3-70b-chat-hf,pass_parse,4,0.9976470588235293
meta-llama/Llama-3-70b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_synth,1,0.8211764705882353
meta-llama/Llama-3-70b-chat-hf,pass_synth,2,0.8376470588235294
meta-llama/Llama-3-70b-chat-hf,pass_synth,3,0.8423529411764705
meta-llama/Llama-3-70b-chat-hf,pass_synth,4,0.8447058823529412
meta-llama/Llama-3-70b-chat-hf,pass_synth,5,0.8470588235294118
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,1,0.531764705882353
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,2,0.54
