model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,0.6754716981132075
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,2,0.6867924528301886
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,3,0.6905660377358491
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,4,0.6943396226415094
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,0.6981132075471698
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,0.6981132075471698
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,2,0.7056603773584905
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,3,0.709433962264151
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,4,0.7132075471698113
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,0.7169811320754716
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,0.6264150943396227
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,2,0.6433962264150944
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,3,0.6509433962264151
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,4,0.6566037735849056
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,0.660377358490566
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,0.6264150943396227
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,2,0.6433962264150944
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,3,0.6509433962264151
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,4,0.6566037735849056
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,0.660377358490566
deepseek-ai/DeepSeek-V3,pass_compile,1,0.781132075471698
deepseek-ai/DeepSeek-V3,pass_compile,2,0.7867924528301887
deepseek-ai/DeepSeek-V3,pass_compile,3,0.790566037735849
deepseek-ai/DeepSeek-V3,pass_compile,4,0.7924528301886793
deepseek-ai/DeepSeek-V3,pass_compile,5,0.7924528301886793
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,2,1.0
deepseek-ai/DeepSeek-V3,pass_parse,3,1.0
deepseek-ai/DeepSeek-V3,pass_parse,4,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,0.750943396226415
deepseek-ai/DeepSeek-V3,pass_synth,2,0.7773584905660378
deepseek-ai/DeepSeek-V3,pass_synth,3,0.7924528301886793
deepseek-ai/DeepSeek-V3,pass_synth,4,0.8037735849056604
