model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,2,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,3,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,4,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,0.24285714285714285
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,2,0.2642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,3,0.2785714285714286
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,4,0.2857142857142857
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,0.2857142857142857
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,0.24285714285714285
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,2,0.2642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,3,0.2785714285714286
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,4,0.2857142857142857
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,0.2857142857142857
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,2,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,3,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,4,0.8928571428571429
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,0.8928571428571429
deepseek-ai/DeepSeek-V3,pass_compile,1,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_compile,2,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_compile,3,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_compile,4,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_compile,5,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,2,1.0
deepseek-ai/DeepSeek-V3,pass_parse,3,1.0
deepseek-ai/DeepSeek-V3,pass_parse,4,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,0.4857142857142857
deepseek-ai/DeepSeek-V3,pass_synth,2,0.5178571428571429
deepseek-ai/DeepSeek-V3,pass_synth,3,0.5392857142857143
deepseek-ai/DeepSeek-V3,pass_synth,4,0.5571428571428572
deepseek-ai/DeepSeek-V3,pass_synth,5,0.5714285714285714
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,1,0.4857142857142857
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,2,0.5178571428571429
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,3,0.5392857142857143
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,4,0.5571428571428572
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,5,0.5714285714285714
deepseek-ai/DeepSeek-V3,pass_tb,1,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_tb,2,0.9642857142857143
