model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,0.8765625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,0.8828125
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,10,0.890625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,20,0.90625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,40,0.9375
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,10,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,20,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,40,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,0.2421875
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,0.3070386302294197
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,10,0.31225839620551493
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,20,0.31249997591071005
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,40,0.3125
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,0.2421875
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,0.3070386302294197
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,10,0.31225839620551493
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,20,0.31249997591071005
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,40,0.3125
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,0.8765625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,0.8828125
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,10,0.890625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,20,0.90625
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,40,0.9375
deepseek-ai/DeepSeek-V3,pass_compile,1,1.0
deepseek-ai/DeepSeek-V3,pass_compile,5,1.0
deepseek-ai/DeepSeek-V3,pass_compile,10,1.0
deepseek-ai/DeepSeek-V3,pass_compile,20,1.0
deepseek-ai/DeepSeek-V3,pass_compile,40,1.0
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_parse,10,1.0
deepseek-ai/DeepSeek-V3,pass_parse,20,1.0
deepseek-ai/DeepSeek-V3,pass_parse,40,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,0.4703125
deepseek-ai/DeepSeek-V3,pass_synth,5,0.530560798652904
deepseek-ai/DeepSeek-V3,pass_synth,10,0.5489574490662139
deepseek-ai/DeepSeek-V3,pass_synth,20,0.5610273735273735
deepseek-ai/DeepSeek-V3,pass_synth,40,0.5625
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,1,0.4703125
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,5,0.530560798652904
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,10,0.5489574490662139
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,20,0.5610273735273735
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,40,0.5625
deepseek-ai/DeepSeek-V3,pass_tb,1,1.0
deepseek-ai/DeepSeek-V3,pass_tb,5,1.0
deepseek-ai/DeepSeek-V3,pass_tb,10,1.0
deepseek-ai/DeepSeek-V3,pass_tb,20,1.0
deepseek-ai/DeepSeek-V3,pass_tb,40,1.0
meta-llama/Llama-3-70b-chat-hf,pass_compile,1,0.7859375
meta-llama/Llama-3-70b-chat-hf,pass_compile,5,0.8518672075415497
meta-llama/Llama-3-70b-chat-hf,pass_compile,10,0.8681738233539642
meta-llama/Llama-3-70b-chat-hf,pass_compile,20,0.8747401247401247
meta-llama/Llama-3-70b-chat-hf,pass_compile,40,0.875
meta-llama/Llama-3-70b-chat-hf,pass_parse,1,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,10,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,20,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,40,1.0
meta-llama/Llama-3-70b-chat-hf,pass_synth,1,0.5671875
meta-llama/Llama-3-70b-chat-hf,pass_synth,5,0.6690985329965593
meta-llama/Llama-3-70b-chat-hf,pass_synth,10,0.7176087211884425
meta-llama/Llama-3-70b-chat-hf,pass_synth,20,0.74616683991684
meta-llama/Llama-3-70b-chat-hf,pass_synth,40,0.75
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,1,0.5671875
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,5,0.6690985329965593
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,10,0.7176087211884425
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,20,0.74616683991684
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,40,0.75
meta-llama/Llama-3-70b-chat-hf,pass_tb,1,0.7859375
meta-llama/Llama-3-70b-chat-hf,pass_tb,5,0.8518672075415497
meta-llama/Llama-3-70b-chat-hf,pass_tb,10,0.8681738233539642
meta-llama/Llama-3-70b-chat-hf,pass_tb,20,0.8747401247401247
meta-llama/Llama-3-70b-chat-hf,pass_tb,40,0.875
meta-llama/Llama-3-8b-chat-hf,pass_compile,1,0.3234375
