model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,0.9571428571428572
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,2,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,3,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,4,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,0.5714285714285714
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,2,0.6285714285714287
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,3,0.6571428571428571
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,4,0.6714285714285715
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,0.6785714285714286
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,0.5714285714285714
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,2,0.6285714285714287
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,3,0.6571428571428571
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,4,0.6714285714285715
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,0.6785714285714286
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,0.9571428571428572
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,2,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,3,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,4,0.9642857142857143
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_compile,1,1.0
deepseek-ai/DeepSeek-V3,pass_compile,2,1.0
deepseek-ai/DeepSeek-V3,pass_compile,3,1.0
deepseek-ai/DeepSeek-V3,pass_compile,4,1.0
deepseek-ai/DeepSeek-V3,pass_compile,5,1.0
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,2,1.0
deepseek-ai/DeepSeek-V3,pass_parse,3,1.0
deepseek-ai/DeepSeek-V3,pass_parse,4,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,0.6285714285714287
deepseek-ai/DeepSeek-V3,pass_synth,2,0.6892857142857143
deepseek-ai/DeepSeek-V3,pass_synth,3,0.725
deepseek-ai/DeepSeek-V3,pass_synth,4,0.7428571428571429
deepseek-ai/DeepSeek-V3,pass_synth,5,0.75
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,1,0.6142857142857142
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,2,0.6642857142857144
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,3,0.6928571428571428
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,4,0.7071428571428572
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,5,0.7142857142857143
deepseek-ai/DeepSeek-V3,pass_tb,1,0.9357142857142857
deepseek-ai/DeepSeek-V3,pass_tb,2,0.9642857142857143
deepseek-ai/DeepSeek-V3,pass_tb,3,0.9821428571428571
deepseek-ai/DeepSeek-V3,pass_tb,4,0.9928571428571429
deepseek-ai/DeepSeek-V3,pass_tb,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_compile,1,0.8785714285714287
meta-llama/Llama-3-70b-chat-hf,pass_compile,2,0.8964285714285715
meta-llama/Llama-3-70b-chat-hf,pass_compile,3,0.9107142857142857
meta-llama/Llama-3-70b-chat-hf,pass_compile,4,0.9214285714285715
meta-llama/Llama-3-70b-chat-hf,pass_compile,5,0.9285714285714286
meta-llama/Llama-3-70b-chat-hf,pass_parse,1,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,2,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,3,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,4,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_synth,1,0.5428571428571428
meta-llama/Llama-3-70b-chat-hf,pass_synth,2,0.5642857142857143
meta-llama/Llama-3-70b-chat-hf,pass_synth,3,0.5785714285714285
meta-llama/Llama-3-70b-chat-hf,pass_synth,4,0.5928571428571429
meta-llama/Llama-3-70b-chat-hf,pass_synth,5,0.6071428571428571
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,1,0.42142857142857143
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,2,0.45357142857142857
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,3,0.4714285714285714
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,4,0.4857142857142857
meta-llama/Llama-3-70b-chat-hf,pass_synth_and_tb,5,0.5
meta-llama/Llama-3-70b-chat-hf,pass_tb,1,0.6928571428571428
meta-llama/Llama-3-70b-chat-hf,pass_tb,2,0.7392857142857142
meta-llama/Llama-3-70b-chat-hf,pass_tb,3,0.7642857142857142
meta-llama/Llama-3-70b-chat-hf,pass_tb,4,0.7785714285714286
meta-llama/Llama-3-70b-chat-hf,pass_tb,5,0.7857142857142857
meta-llama/Llama-3-8b-chat-hf,pass_compile,1,0.5214285714285715
meta-llama/Llama-3-8b-chat-hf,pass_compile,2,0.5321428571428571
meta-llama/Llama-3-8b-chat-hf,pass_compile,3,0.5357142857142857
meta-llama/Llama-3-8b-chat-hf,pass_compile,4,0.5357142857142857
meta-llama/Llama-3-8b-chat-hf,pass_compile,5,0.5357142857142857
meta-llama/Llama-3-8b-chat-hf,pass_parse,1,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,2,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,3,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,4,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-8b-chat-hf,pass_synth,1,0.34285714285714286
meta-llama/Llama-3-8b-chat-hf,pass_synth,2,0.37142857142857144
meta-llama/Llama-3-8b-chat-hf,pass_synth,3,0.38571428571428573
meta-llama/Llama-3-8b-chat-hf,pass_synth,4,0.39285714285714285
meta-llama/Llama-3-8b-chat-hf,pass_synth,5,0.39285714285714285
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,1,0.2571428571428572
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,2,0.275
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,3,0.28214285714285714
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,4,0.2857142857142857
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,5,0.2857142857142857
meta-llama/Llama-3-8b-chat-hf,pass_tb,1,0.36428571428571427
meta-llama/Llama-3-8b-chat-hf,pass_tb,2,0.3821428571428571
meta-llama/Llama-3-8b-chat-hf,pass_tb,3,0.3892857142857143
meta-llama/Llama-3-8b-chat-hf,pass_tb,4,0.39285714285714285
meta-llama/Llama-3-8b-chat-hf,pass_tb,5,0.39285714285714285
