model_name,metric_name,k,pass_rate
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_compile,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_parse,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_synth_and_tb,5,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,1,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,2,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,3,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,4,1.0
Qwen/Qwen2.5-Coder-32B-Instruct,pass_tb,5,1.0
deepseek-ai/DeepSeek-V3,pass_compile,1,1.0
deepseek-ai/DeepSeek-V3,pass_compile,2,1.0
deepseek-ai/DeepSeek-V3,pass_compile,3,1.0
deepseek-ai/DeepSeek-V3,pass_compile,4,1.0
deepseek-ai/DeepSeek-V3,pass_compile,5,1.0
deepseek-ai/DeepSeek-V3,pass_parse,1,1.0
deepseek-ai/DeepSeek-V3,pass_parse,2,1.0
deepseek-ai/DeepSeek-V3,pass_parse,3,1.0
deepseek-ai/DeepSeek-V3,pass_parse,4,1.0
deepseek-ai/DeepSeek-V3,pass_parse,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth,1,1.0
deepseek-ai/DeepSeek-V3,pass_synth,2,1.0
deepseek-ai/DeepSeek-V3,pass_synth,3,1.0
deepseek-ai/DeepSeek-V3,pass_synth,4,1.0
deepseek-ai/DeepSeek-V3,pass_synth,5,1.0
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,1,1.0
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,2,1.0
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,3,1.0
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,4,1.0
deepseek-ai/DeepSeek-V3,pass_synth_and_tb,5,1.0
deepseek-ai/DeepSeek-V3,pass_tb,1,1.0
deepseek-ai/DeepSeek-V3,pass_tb,2,1.0
deepseek-ai/DeepSeek-V3,pass_tb,3,1.0
deepseek-ai/DeepSeek-V3,pass_tb,4,1.0
deepseek-ai/DeepSeek-V3,pass_tb,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_compile,1,0.9071428571428571
meta-llama/Llama-3-70b-chat-hf,pass_compile,2,0.9214285714285715
meta-llama/Llama-3-70b-chat-hf,pass_compile,3,0.9357142857142857
meta-llama/Llama-3-70b-chat-hf,pass_compile,4,0.9500000000000001
meta-llama/Llama-3-70b-chat-hf,pass_compile,5,0.9642857142857143
meta-llama/Llama-3-70b-chat-hf,pass_parse,1,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,2,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,3,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,4,1.0
meta-llama/Llama-3-70b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-70b-chat-hf,pass_synth,1,0.9071428571428571
